"","atm_id","horario","Total_fallas","score","riesgo_fallo"
"348","1131","Noche",2,0.0134228187919463,"Bajo"
"349","1131","Tarde",8,0.0536912751677852,"Moderado"
"350","1132","Madrugada",24,0.161073825503356,"Alto"
"351","1132","Mañana",15,0.100671140939597,"Moderado"
"352","1132","Noche",10,0.0671140939597315,"Moderado"
"353","1132","Tarde",24,0.161073825503356,"Alto"
"354","1133","Madrugada",1,0.00671140939597315,"Muy bajo"
"355","1133","Mañana",2,0.0134228187919463,"Bajo"
"356","1133","Noche",1,0.00671140939597315,"Muy bajo"
"357","1133","Tarde",12,0.0805369127516778,"Moderado"
"358","1136","Mañana",2,0.0134228187919463,"Bajo"
"359","1136","Tarde",4,0.0268456375838926,"Bajo"
"360","1137","Madrugada",1,0.00671140939597315,"Muy bajo"
"361","1138","Madrugada",2,0.0134228187919463,"Bajo"
"362","1138","Mañana",1,0.00671140939597315,"Muy bajo"
"363","1138","Noche",1,0.00671140939597315,"Muy bajo"
"364","1138","Tarde",2,0.0134228187919463,"Bajo"
"365","1139","Madrugada",6,0.0402684563758389,"Bajo"
"366","1139","Mañana",2,0.0134228187919463,"Bajo"
"367","1139","Noche",1,0.00671140939597315,"Muy bajo"
"368","114","Madrugada",1,0.00671140939597315,"Muy bajo"
"369","114","Mañana",2,0.0134228187919463,"Bajo"
"370","114","Noche",1,0.00671140939597315,"Muy bajo"
"371","114","Tarde",8,0.0536912751677852,"Moderado"
"372","1140","Madrugada",9,0.0604026845637584,"Moderado"
"373","1140","Mañana",2,0.0134228187919463,"Bajo"
"374","1141","Madrugada",1,0.00671140939597315,"Muy bajo"
"375","1141","Mañana",1,0.00671140939597315,"Muy bajo"
"376","1141","Noche",1,0.00671140939597315,"Muy bajo"
"377","1141","Tarde",3,0.0201342281879195,"Bajo"
"378","1143","Madrugada",6,0.0402684563758389,"Bajo"
"379","1143","Mañana",1,0.00671140939597315,"Muy bajo"
"380","1143","Noche",2,0.0134228187919463,"Bajo"
"381","1144","Madrugada",5,0.0335570469798658,"Bajo"
"382","1144","Mañana",2,0.0134228187919463,"Bajo"
"383","1144","Noche",1,0.00671140939597315,"Muy bajo"
"384","1144","Tarde",2,0.0134228187919463,"Bajo"
"385","1145","Madrugada",2,0.0134228187919463,"Bajo"
"386","1145","Mañana",1,0.00671140939597315,"Muy bajo"
"387","1146","Mañana",2,0.0134228187919463,"Bajo"
"388","1147","Mañana",1,0.00671140939597315,"Muy bajo"
"389","1147","Noche",1,0.00671140939597315,"Muy bajo"
"390","1147","Tarde",5,0.0335570469798658,"Bajo"
"391","1148","Noche",1,0.00671140939597315,"Muy bajo"
"392","1149","Mañana",2,0.0134228187919463,"Bajo"
"393","1149","Tarde",5,0.0335570469798658,"Bajo"
"394","1150","Tarde",1,0.00671140939597315,"Muy bajo"
"395","1151","Madrugada",2,0.0134228187919463,"Bajo"
"396","1151","Mañana",4,0.0268456375838926,"Bajo"
"397","1151","Noche",2,0.0134228187919463,"Bajo"
"398","1151","Tarde",5,0.0335570469798658,"Bajo"
"399","1153","Madrugada",3,0.0201342281879195,"Bajo"
"400","1153","Mañana",1,0.00671140939597315,"Muy bajo"
"401","1153","Noche",2,0.0134228187919463,"Bajo"
"402","1153","Tarde",2,0.0134228187919463,"Bajo"
"403","1154","Madrugada",1,0.00671140939597315,"Muy bajo"
"404","1154","Mañana",1,0.00671140939597315,"Muy bajo"
"405","1154","Tarde",2,0.0134228187919463,"Bajo"
"406","1156","Madrugada",3,0.0201342281879195,"Bajo"
"407","1156","Mañana",2,0.0134228187919463,"Bajo"
"408","1156","Noche",2,0.0134228187919463,"Bajo"
"409","1156","Tarde",4,0.0268456375838926,"Bajo"
"410","1159","Madrugada",6,0.0402684563758389,"Bajo"
"411","1159","Noche",6,0.0402684563758389,"Bajo"
"412","1159","Tarde",7,0.0469798657718121,"Bajo"
"413","116","Madrugada",4,0.0268456375838926,"Bajo"
"414","116","Mañana",1,0.00671140939597315,"Muy bajo"
"415","116","Noche",2,0.0134228187919463,"Bajo"
"416","116","Tarde",1,0.00671140939597315,"Muy bajo"
"417","1160","Madrugada",3,0.0201342281879195,"Bajo"
"418","1160","Mañana",2,0.0134228187919463,"Bajo"
"419","1161","Tarde",1,0.00671140939597315,"Muy bajo"
"420","1162","Madrugada",1,0.00671140939597315,"Muy bajo"
"421","1162","Tarde",1,0.00671140939597315,"Muy bajo"
"422","1163","Tarde",5,0.0335570469798658,"Bajo"
"423","1164","Madrugada",1,0.00671140939597315,"Muy bajo"
"424","1164","Tarde",2,0.0134228187919463,"Bajo"
"425","1165","Madrugada",1,0.00671140939597315,"Muy bajo"
"426","1165","Mañana",1,0.00671140939597315,"Muy bajo"
"427","1165","Tarde",1,0.00671140939597315,"Muy bajo"
"428","1166","Mañana",2,0.0134228187919463,"Bajo"
"429","1166","Tarde",1,0.00671140939597315,"Muy bajo"
"430","1167","Mañana",1,0.00671140939597315,"Muy bajo"
"431","1167","Tarde",3,0.0201342281879195,"Bajo"
"432","1168","Madrugada",1,0.00671140939597315,"Muy bajo"
"433","1168","Mañana",1,0.00671140939597315,"Muy bajo"
"434","1168","Noche",2,0.0134228187919463,"Bajo"
"435","117","Mañana",2,0.0134228187919463,"Bajo"
"436","117","Tarde",10,0.0671140939597315,"Moderado"
"437","1170","Mañana",4,0.0268456375838926,"Bajo"
"438","1170","Tarde",3,0.0201342281879195,"Bajo"
"439","1171","Madrugada",3,0.0201342281879195,"Bajo"
"440","1171","Mañana",1,0.00671140939597315,"Muy bajo"
"441","1171","Noche",1,0.00671140939597315,"Muy bajo"
"442","1172","Madrugada",1,0.00671140939597315,"Muy bajo"
"443","1172","Mañana",1,0.00671140939597315,"Muy bajo"
"444","1172","Noche",1,0.00671140939597315,"Muy bajo"
"445","1172","Tarde",4,0.0268456375838926,"Bajo"
"446","1173","Madrugada",3,0.0201342281879195,"Bajo"
"447","1173","Noche",1,0.00671140939597315,"Muy bajo"
"448","1173","Tarde",1,0.00671140939597315,"Muy bajo"
"449","1175","Madrugada",2,0.0134228187919463,"Bajo"
"450","1175","Tarde",6,0.0402684563758389,"Bajo"
"451","1176","Madrugada",7,0.0469798657718121,"Bajo"
"452","1176","Mañana",1,0.00671140939597315,"Muy bajo"
"453","1176","Noche",1,0.00671140939597315,"Muy bajo"
"454","1176","Tarde",5,0.0335570469798658,"Bajo"
"455","1177","Tarde",1,0.00671140939597315,"Muy bajo"
"456","1178","Mañana",3,0.0201342281879195,"Bajo"
"457","1178","Noche",1,0.00671140939597315,"Muy bajo"
"458","1179","Madrugada",3,0.0201342281879195,"Bajo"
"459","1179","Mañana",2,0.0134228187919463,"Bajo"
"460","1179","Noche",3,0.0201342281879195,"Bajo"
"461","118","Mañana",2,0.0134228187919463,"Bajo"
"462","118","Tarde",2,0.0134228187919463,"Bajo"
"463","1180","Madrugada",4,0.0268456375838926,"Bajo"
"464","1180","Mañana",3,0.0201342281879195,"Bajo"
"465","1180","Noche",2,0.0134228187919463,"Bajo"
